Time [s],Voltage [V],Current [A],Cell Temperature [K],Separator Temperature [K]
338.0,4.040238671476583,2.0,298.15,298.15
339.0,4.040205862217201,2.0,298.15,298.15
340.0,4.040173309603798,2.0,298.15,298.15
341.0,4.040141011345349,2.0,298.15,298.15
342.0,4.0401089651619655,2.0,298.15,298.15
343.0,4.040077168784849,2.0,298.15,298.15
344.0,4.040045619956217,2.0,298.15,298.15
345.0,4.040014316429192,2.0,298.15,298.15
346.0,4.039983255967746,2.0,298.15,298.15
347.0,4.039952436346633,2.0,298.15,298.15
348.0,4.039921855351302,2.0,298.15,298.15
349.0,4.039891510777806,2.0,298.15,298.15
350.0,4.039861400432758,2.0,298.15,298.15
351.0,4.039831522133271,2.0,298.15,298.15
352.0,4.039801873706799,2.0,298.15,298.15
353.0,4.039772452991227,2.0,298.15,298.15
354.0,4.03974325783462,2.0,298.15,298.15
355.0,4.039714286095293,2.0,298.15,298.15
356.0,4.039685535641655,2.0,298.15,298.15
357.0,4.039657004352184,2.0,298.15,298.15
358.0,4.039628690115405,2.0,298.15,298.15
359.0,4.039600590829726,2.0,298.15,298.15
360.0,4.0395727044034455,2.0,298.15,298.15
361.0,4.039545028754645,2.0,298.15,298.15
362.0,4.039517561811199,2.0,298.15,298.15
363.0,4.0394903015106065,2.0,298.15,298.15
364.0,4.039463245800024,2.0,298.15,298.15
365.0,4.039436392636174,2.0,298.15,298.15
366.0,4.039409739985262,2.0,298.15,298.15
367.0,4.039383285822955,2.0,298.15,298.15
368.0,4.039357028134303,2.0,298.15,298.15
369.0,4.039330964913676,2.0,298.15,298.15
370.0,4.039305094164761,2.0,298.15,298.15
371.0,4.0392794139003785,2.0,298.15,298.15
372.0,4.039253922142611,2.0,298.15,298.15
373.0,4.039228616922556,2.0,298.15,298.15
374.0,4.039203496280463,2.0,298.15,298.15
375.0,4.039178558265517,2.0,298.15,298.15
376.0,4.03915380093591,2.0,298.15,298.15
377.0,4.03912922235865,2.0,298.15,298.15
378.0,4.039104820609687,2.0,298.15,298.15
379.0,4.039080593773727,2.0,298.15,298.15
380.0,4.039056539944227,2.0,298.15,298.15
381.0,4.039032657223336,2.0,298.15,298.15
382.0,4.0390089437218775,2.0,298.15,298.15
383.0,4.038985397559283,2.0,298.15,298.15
384.0,4.038962016863519,2.0,298.15,298.15
385.0,4.038938799771077,2.0,298.15,298.15
386.0,4.03891574442691,2.0,298.15,298.15
387.0,4.038892848984384,2.0,298.15,298.15
388.0,4.038870111605277,2.0,298.15,298.15
389.0,4.038847530459648,2.0,298.15,298.15
390.0,4.038825103725851,2.0,298.15,298.15
391.0,4.038802829590494,2.0,298.15,298.15
392.0,4.038780706248406,2.0,298.15,298.15
393.0,4.038758731902554,2.0,298.15,298.15
394.0,4.038736904764009,2.0,298.15,298.15
395.0,4.038715223051927,2.0,298.15,298.15
396.0,4.038693684993496,2.0,298.15,298.15
397.0,4.038672288823917,2.0,298.15,298.15
398.0,4.038651032786302,2.0,298.15,298.15
399.0,4.038629915131715,2.0,298.15,298.15
400.0,4.038608934119053,2.0,298.15,298.15
401.0,4.038588088015107,2.0,298.15,298.15
402.0,4.038567375094421,2.0,298.15,298.15
403.0,4.038546793639308,2.0,298.15,298.15
404.0,4.0385263419398045,2.0,298.15,298.15
405.0,4.038506018293632,2.0,298.15,298.15
406.0,4.038485821006174,2.0,298.15,298.15
407.0,4.038465748390388,2.0,298.15,298.15
408.0,4.038445798766879,2.0,298.15,298.15
409.0,4.038425970463694,2.0,298.15,298.15
410.0,4.038406261816466,2.0,298.15,298.15
411.0,4.038386671168286,2.0,298.15,298.15
412.0,4.038367196869647,2.0,298.15,298.15
413.0,4.03834783727847,2.0,298.15,298.15
414.0,4.038328590760079,2.0,298.15,298.15
415.0,4.038309455687056,2.0,298.15,298.15
416.0,4.038290430439357,2.0,298.15,298.15
417.0,4.038271513404187,2.0,298.15,298.15
418.0,4.038252702975963,2.0,298.15,298.15
419.0,4.038233997556344,2.0,298.15,298.15
420.0,4.038215395554183,2.0,298.15,298.15
421.0,4.038196895385421,2.0,298.15,298.15
422.0,4.038178495473153,2.0,298.15,298.15
423.0,4.038160194247518,2.0,298.15,298.15
424.0,4.038141990145783,2.0,298.15,298.15
425.0,4.038123881612161,2.0,298.15,298.15
426.0,4.038105867097901,2.0,298.15,298.15
427.0,4.038087945061198,2.0,298.15,298.15
428.0,4.038070113967206,2.0,298.15,298.15
429.0,4.03805237228601,2.0,298.15,298.15
430.0,4.038034718498502,2.0,298.15,298.15
431.0,4.038017151090468,2.0,298.15,298.15
432.0,4.037999668554522,2.0,298.15,298.15
433.0,4.0379822693900485,2.0,298.15,298.15
434.0,4.037964952103189,2.0,298.15,298.15
435.0,4.037947715206853,2.0,298.15,298.15
436.0,4.037930557220644,2.0,298.15,298.15
437.0,4.037913476670869,2.0,298.15,298.15
438.0,4.037896472090475,2.0,298.15,298.15
439.0,4.037879542019076,2.0,298.15,298.15
440.0,4.037862685002859,2.0,298.15,298.15
441.0,4.0378458995946085,2.0,298.15,298.15
442.0,4.037829184353686,2.0,298.15,298.15
443.0,4.037812537845958,2.0,298.15,298.15
444.0,4.037795958643797,2.0,298.15,298.15
445.0,4.03777944532606,2.0,298.15,298.15
446.0,4.0377629964781026,2.0,298.15,298.15
447.0,4.0377466106916735,2.0,298.15,298.15
448.0,4.037730286564945,2.0,298.15,298.15
449.0,4.037714022702446,2.0,298.15,298.15
